"Name","Address","Bedroom","Bathroom","Total_area","Price","Phone"
"Aerium Apartment Tipe 2 Bedroom","Meruya, Jakarta Barat",2,"2","84 m²"," 2,980,938,300","+62 8115721784"
"di jual BU Apartemen Bintaro Park View,strategis, Full Furnished","Pesanggrahan, Jakarta Selatan",2,"1","36 m²"," 575,000,000","+6281211974813"
"DIJUAL CEPAT APARTEMENT GREENLAKE SUNTER TOWER 2 NEGO SAMPAI DEAL","Tanjung Priok, Jakarta Utara",2,"1","42 m²"," 595,000,000","+6281287757069"
"Norrington Suites Apartment Tipe Junior Suites","Sunter Jaya, Jakarta Utara",1,"1","25 m²"," 872,439,914","+6281283176376"
"Dijual Apartemen Green Park View Tower G Termurah","Cengkareng, Jakarta Barat",1,"1","23 m²"," 208,000,000","+6281761193979"
"Sale apartemen the oak tower","Pulo Gadung, Jakarta Timur",2,"1","42 m²"," 595,000,000","+6287746386818"
"Southgate Prime Tower Tipe 1BR + Study","Tanjung Barat, Jakarta Selatan",1,"1","68 m²"," 1,900,000,000","+6281190819941"
"B Residence Grogol Tipe 2 BR","Kebon Jeruk, Jakarta Barat",2,"1","50 m²"," 1,403,800,000","+6281223794388"
"Apartemen Strategis di Jakarta - B Residence Grogol Tipe 2 BR","Kebon Jeruk, Jakarta Barat",2,"1","50 m²"," 1,404,800,000","+6281227382101"
"DIJUAL THE MANSION KEMAYORAN APARTMENT 1BR TANPA AGENT BU TOWER GLORIA","Pademangan, Jakarta Utara",1,"1","34 m²"," 450,000,000","+6281228695332"
"The Elements kuningan","Karet Kuningan, Jakarta Selatan",3,"3","186 m²"," 5,500,000,000","+6281298626701"
"Jual 2 BR Apartemen Bellagio Residence Mega Kuningan Jakarta Selatan","Kuningan, Jakarta Selatan",2,"2","84 m²"," 2,500,000,000","+6287880783258"
"B Residence Grogol Tipe Studio","Kebon Jeruk, Jakarta Barat",1,"1","24 m²"," 721,800,000","+6281224831473"
"Apartemen 1 BR di Oak Tower","Pulo Gadung, Jakarta Timur",1,"1","36 m²"," 683,500,000","+6281229778778"
"Dijual Strategis Resident apartemen kalibata city,tower akasia","Jakarta Selatan",2,"1","33 m²"," 355,000,000","+6282122449042"
"Jual cpt 2BR Kosong diatas mall bassura","Jatinegara, Jakarta Timur",2,"1","34 m²"," 550,000,000","+6287886425798"
"B Residence Grogol Tipe 1 BR","Kebon Jeruk, Jakarta Barat",1,"1","41 m²"," 1,243,800,000","+6281225158060"
"Apartemen Mewah di Jakarta Barat - B Residence Grogol Tipe Studio","Kebon Jeruk, Jakarta Barat",1,"1","24 m²"," 721,900,000","+6281227973152"
"Dijual The Oak Tower - Tipe 2 BR di Jakarta Timur","Pulo Gadung, Jakarta Timur",2,"1","42 m²"," 941,500,000","+6281223747588"
"Unit Apart Gajah Mada Twr B","Jakarta Barat",3,"2","58 m²"," 700,000,000","+6287888435823"
"Apartemen Murah di The Oak Tower Jakarta Timur","Pulo Gadung, Jakarta Timur",2,"1","42 m²"," 942,000,000","+6281225671441"
"The Oak Tower Tipe 1 BR","Pulo Gadung, Jakarta Timur",1,"1","36 m²"," 683,375,000","+6281225805689"
"Apartemen Nyaman dan Praktis di Jakarta - Tipe 1 BR","Kebon Jeruk, Jakarta Barat",1,"1","41 m²"," 1,244,800,000","+6281225207484"
"Dijual Apartemen 2 BR di B Residence Grogol","Kebon Jeruk, Jakarta Barat",2,"1","50 m²"," 1,403,900,000","+6281221727019"
"Dijual Hunian Baru Apartemen Tokyo Riverside View Laut","Pantai Indah Kapuk, Jakarta Utara",2,"1","36 m²"," 480,000,000","+6281912496903"
"Southgate Prime Tower Tipe 3BR + Maid","Tanjung Barat, Jakarta Selatan",3,"2","161 m²"," 4,650,000,000","+6281199644488"
"Jual murah 2BR semi furnish view Pool lantai rendah","Jatinegara, Jakarta Timur",2,"1","34 m²"," 450,000,000","+6287884124949"
"DI JUAL APARTEMENT PREMIUM SOUTHGATE RESIDENCE LOKASI STRATEGIS","Tanjung Barat, Jakarta Selatan",2,"1","31 m²"," 1,000,000,000","+6281333522836"
"Southgate Altuera Tower Tipe Studio","Tanjung Barat, Jakarta Selatan",1,"1","30 m²"," 1,200,000,000","+6281221679769"
"Apartemen Daan Mogot City Tipe Studio","Kalideres, Jakarta Barat",1,"1","25 m²"," 616,322,000","+6287898214518"
"Vasaka Solterra Apartemen Siap Huni Di Jaksel","Pejaten Barat, Jakarta Selatan",1,"1","26 m²"," 900,000,000","+6282286413329"
"DIJUAL HARGA MODAL APARTEMEN TA RESIDENCE SUDAH SERTIPIKAT SHM","Tanjung Duren, Jakarta Barat",1,"1","26 m²"," 848,000,000","+6281318299928"
"Apartemen Nyaman dan Praktis di Jakarta - Tipe Studio","Kebon Jeruk, Jakarta Barat",1,"1","24 m²"," 722,800,000","+6281226186466"
"Apartemen West Vista Type Studio Baru, Akses Terjangkau, Jakarta Barat","Jakarta Barat",1,"1","30 m²"," 550,000,000","+6289645134858"
"Hunian Dijual di Pusat Jakarta The Elements","Karet Kuningan, Jakarta Selatan",2,"2","96 m²"," 4,202,000,000","+6281221654481"
"Apartemen Permata Hijau Residence, jual BU 5 M (Th 2015 beli 5.4M)","Kebayoran Lama, Jakarta Selatan",5,"5","200 m²"," 5,000,000,000","+6281217702774"
"LRT City Ciracas Tipe Studio","Ciracas, Jakarta Timur",1,"1","24 m²"," 625,000,000","+6281222219376"
"DIJUAL CEPAT B.U APARTEMENT AREA PONDOK INDAH NEGO SAMPAI DEAL","Pondok Indah, Jakarta Selatan",2,"3","148 m²"," 13,500,000,000","+6281913331988"
"Premium Apartment with Private Lift","Cilandak, Jakarta Selatan",2,"3","147 m²"," 5,400,000,000","+6282279336580"
"Apartment cicilan 3 jutaan dapat 2 kamar di Jakarta","Pekayon, Jakarta Timur",2,"1","34 m²"," 570,000,000","+6281241819554"
"Southgate Elegance Tower Tipe 1BR + Study","Tanjung Barat, Jakarta Selatan",1,"1","72 m²"," 2,700,000,000","+6281220148918"
"Norrington Suites Apartment Tipe Couple Suites","Sunter Jaya, Jakarta Utara",1,"1","43 m²"," 1,434,753,190","+6281225024351"
"Southgate Prime Tower Tipe 2BR + Maid","Tanjung Barat, Jakarta Selatan",2,"2","122 m²"," 3,500,000,000","+6281191626366"
"Southgate Elegance Tower Tipe 2BR","Tanjung Barat, Jakarta Selatan",2,"2","103 m²"," 3,400,000,000","+6281223372474"
"LRT City Ciracas Tipe 2 BR-2","Ciracas, Jakarta Timur",2,"1","61 m²"," 1,478,000,000","+6281225299291"
"Southgate Altuera Tower Tipe 2BR Loft","Tanjung Barat, Jakarta Selatan",2,"1","84 m²"," 3,200,000,000","+6281220339918"
"Apartemen Daan Mogot City Tipe 3 Bedroom","Kalideres, Jakarta Barat",3,"2","79 m²"," 1,716,373,000","+6287895944960"
"Newton 1 Ciputra world 2, brand new, UF","SetiaBudi, Jakarta Selatan",1,"1","42 m²"," 1,800,000,000","+6281191569976"
"Apartment Premium di South Quarter Residence","Cilandak, Jakarta Selatan",1,"1","30 m²"," 1,286,107,825","+6281220652713"
"Apartemen st.moritz 4bd 2 lantai loft mewah furnish","Kembangan, Jakarta Barat",4,"3","245 m²"," 7,900,000,000","+6281705716885"
"Apartemen mewah dengan harga special permata hijau pondok indah jakarta selatan","Pondok Indah, Jakarta Selatan",4,"3","208 m²"," 6,000,000,000","+6282216973400"
"Apartemen Mewah Cicilan Panjang Tanpa Bank","Daan Mogot, Jakarta Barat",1,"1","26 m²"," 600,000,000","+6281395794393"
"The elements Apartment Privatelift  harga mulai 4Man","Kuningan, Jakarta Selatan",2,"1","96 m²"," 3,700,000,000","+6281292082475"
"Verde Two Apartment Tipe 3BR","Kuningan, Jakarta Selatan",3,"3","211 m²"," 10,410,000,000","+6281194252161"
"Apartemen di Jantung Kota Jakarta Selatan South Quarter Residence","Cilandak, Jakarta Selatan",1,"1","60 m²"," 2,618,738,820","+6281227030017"
"Southgate Altuera Tower Tipe Studio Loft+","Tanjung Barat, Jakarta Selatan",1,"2","52 m²"," 2,400,000,000","+6281221724586"
"Southgate Elegance Tower Tipe 2BR + Maid","Tanjung Barat, Jakarta Selatan",2,"2","101 m²"," 3,400,000,000","+6281226307246"
"Dijual Apartment St Moritz Tower Royal Jakarta Barat","Puri Indah, Jakarta Barat",2,"1","82 m²"," 2,000,000,000","+6281284913860"
"LRT City Ciracas Tipe 2 BR","Ciracas, Jakarta Timur",2,"1","36 m²"," 891,000,000","+6281223168852"
"Harga miring Apt ST MORITZ Twr New Presidential 192m2(3BR+1),Lt 30an","Jakarta Barat",3,"2","192 m²"," 4,500,000,000","+6281212379253"
"Jual Apartmen Jakarta Barat  St Moritz Tower The Royal Suite","Kembangan, Jakarta Barat",3,"3","112 m²"," 3,025,000,000","+6282110270349"
"Verde Two Apartment Tipe 2BR","Kuningan, Jakarta Selatan",2,"3","171 m²"," 8,530,000,000","+6281196411770"
"Southgate Prime Tower Tipe 2BR","Tanjung Barat, Jakarta Selatan",2,"2","92 m²"," 2,550,000,000","+6281192820347"
"Dijual cepat  Apartemen Strategis di Green Sedayu  Jakarta Barat","Cengkareng Barat, Jakarta Barat",1,"1","38 m²"," 850,000,000","+6287704723049"
"JUAL CEPAT APARTEMEN DENPASAR RESIDENCE L 10 TOWER UBUD KUNINGAN CITY","SetiaBudi, Jakarta Selatan",2,"2","71 m²"," 2,500,000,000","+6282119643030"
"Dijual Apartemen dengan Ruang Hijau South Quarter Residence","Cilandak, Jakarta Selatan",1,"1","30 m²"," 1,287,107,825","+6281221461320"
"Hunian Modern Alami di South Quarter Residence","Cilandak, Jakarta Selatan",1,"1","60 m²"," 2,619,738,820","+6281221842363"
"JUAL RUGI Apartemen Menara Jakarta Kemayoran 2BR Tower Equinox ME28K","Kemayoran, Jakarta Pusat",2,"1","49 m²"," 1,400,000,000","+6282198423975"
"Tifolia Apartment Tipe 1 Bed Room - Jakarta Timur","Pulo Gadung, Jakarta Timur",1,"1","19 m²"," 277,200,000","+6281226582667"
"Apartement Kalibata City Tower EBONY","Kalibata, Jakarta Selatan",2,"1","33 m²"," 320,000,000","+6281282958908"
"DIJUAL APARTMENT TOWER FONTANA THE MANSION KEMAYORAN TANPA AGENT","Pademangan, Jakarta Utara",1,"1","41 m²"," 900,000,000","+6281284053243"
"Dijual Cepat murah apartemen kalibata city resident tower cendana","Jakarta Selatan",2,"1","33 m²"," 335,000,000","+6282122374172"
"Apartemen yang Mengutamakan Kenyamanan di South Quarter Residence","Cilandak, Jakarta Selatan",2,"2","93 m²"," 4,103,912,300","+6281222500926"
"Dijual Apartemen Mewah di Jakarta Timur LRT City Ciracas","Ciracas, Jakarta Timur",2,"1","61 m²"," 1,480,000,000","+6281227532888"
"Dijual  Murah BU Apartemen City Resort Tower MariGold","Cengkareng, Jakarta Barat",2,"1","42 m²"," 430,000,000","+6281885032325"
"APARTEMEN GREEN PRAMUKA CITY 2 KAMAR TOWER MALL","Cempaka Putih, Jakarta Pusat",2,"1","33 m²"," 450,000,000","+6285776218441"
"Interior Lux Dijual 2BR49m2 Madison Park MP Central Park Tanjung Duren","Tanjung Duren, Jakarta Barat",2,"1","49 m²"," 1,130,000,000","+6281984737435"
"Regatta Pantai Mutiara Apartment Tipe 2 BR","Pluit, Jakarta Utara",2,"2","115 m²"," 3,600,000,000","+6281195729041"
"FOR SALE Apartemen Permata Hijau Suites, Mewah & Siap Huni","Kebayoran Lama, Jakarta Selatan",2,"1","60 m²"," 1,800,000,000","+6281219417092"
"test test ghchchcch","Jakarta Selatan",1,"1","123456 m²"," 1,234,568","+6281233036982"
"Tifolia Apartment Tipe 2 Bed Room - Jakarta Timur","Pulo Gadung, Jakarta Timur",2,"2","69 m²"," 1,283,000,000","+6281226214053"
"Apartment Tifolia Tipe 2BR","Jakarta Timur",2,"2","69 m²"," 1,371,753,949","+6281221042516"
"Apartemen neo soho BU 97m central park","Tanjung Duren, Jakarta Barat",1,"2","97 m²"," 2,250,000,000","+6281704402769"
"dijual CEPAT apartemen puri mansion 3BR unit baru serah terima","Puri Indah, Jakarta Barat",3,"2","68 m²"," 1,050,000,000","+6281287006779"
"Apartemen 2 BR  Konsep Cozy di LRT CIty Ciracas","Ciracas, Jakarta Timur",2,"1","36 m²"," 893,000,000","+6281222061109"
"Hunian Masa Depan Millenials LRT City Ciracas","Ciracas, Jakarta Timur",2,"1","36 m²"," 892,000,000","+6281228972697"
"Jual Apartemen Gading Nias Residence Tower Grand Emerald Kelapa Gading","Kelapa Gading, Jakarta Utara",1,"1","21 m²"," 295,000,000","+6285677201490"
"Tifolia Tipe 1 BR","Pulo Gadung, Jakarta Timur",1,"1","19 m²"," 276,210,000","+6281227832882"
"Regatta Pantai Mutiara Apartment Tipe 3 BR","Pluit, Jakarta Utara",3,"2","163 m²"," 5,000,000,000","+6281190358364"
"Apartemen di Pusat CBD Rasuna Kuningan The Elements","Karet Kuningan, Jakarta Selatan",3,"2","139 m²"," 5,502,000,000","+6281220021713"
"Hunian Modern Premium di South Quarter Residence","Cilandak, Jakarta Selatan",2,"2","93 m²"," 4,104,912,300","+6281220184395"
"Harga miring Apt ST MORITZ Twr New Presidential 120m2(2BR+1),Lt30an,","Kembangan, Jakarta Barat",2,"2","120 m²"," 3,000,000,000","+6281213377668"
"Di jual cepat dan Murah Apartemen di Metro Park Residence","Kedoya Selatan, Jakarta Barat",2,"1","45 m²"," 950,000,000","+6287788655774"
"Apartemen Bergaya Klasik di LRT City Ciracas","Ciracas, Jakarta Timur",2,"1","61 m²"," 1,479,000,000","+6281224080085"
"Dijual Apartemen Pusat Jantung Kota Jakarta","Pasar Baru, Jakarta Pusat",1,"1","37 m²"," 625,000,000","+6287770429932"
"Dijual Apartemen Modern di The Elements","Karet Kuningan, Jakarta Selatan",3,"2","139 m²"," 5,501,000,000","+6281228842920"
"Apartemen 1.3 M an di South Quarter Residence","Cilandak, Jakarta Selatan",3,"3","117 m²"," 5,089,191,630","+6281229798055"
"Apartment Double Glazed Windows South Quarter Residence","Cilandak, Jakarta Selatan",2,"2","86 m²"," 3,725,637,590","+6281229334055"
"DiJUAL Sertifikat 2 Bedroom APARTEMEN KALIBATA CITY","Kalibata, Jakarta Selatan",2,"1","33 m²"," 355,000,000","+6281228411337"
"apartemen exclusive southgate","Lenteng Agung, Jakarta Selatan",2,"2","96 m²"," 3,300,000,000","+6281339044585"
"Tifolia Tipe 2 BR","Pulo Gadung, Jakarta Timur",2,"2","69 m²"," 1,284,211,579","+6281228400668"
"Apartment Tifolia Tipe 1BR","Jakarta Timur",1,"1","19 m²"," 277,000,000","+6281229210605"
"Apartemen Fasilitas Antar Jemput ke MRT South Quarter Residence","Cilandak, Jakarta Selatan",2,"2","86 m²"," 3,746,637,590","+6281220872718"
"Hunian Modern Klasik Murah di LRT City Ciracas","Ciracas, Jakarta Timur",1,"1","24 m²"," 627,000,000","+6281229693986"
"Apartemen dengan Konsep TOD LRT City Ciracas","Ciracas, Jakarta Timur",1,"1","24 m²"," 626,000,000","+6281229809353"
"Apartemen dengan Akses Strategis South Quarter Residence","Cilandak, Jakarta Selatan",3,"3","117 m²"," 5,088,191,630","+6281229763851"
"DIJUAL CEPAT/OVER CREDIT B.U APARTEMENT AREA JAKBAR NEGO SAMPAI DEAL","Cengkareng, Jakarta Barat",1,"1","33 m²"," 760,000,000","+6281229439360"
"Jual cpt 2BR hrg dibawah pasaran atas mall","Jatinegara, Jakarta Timur",2,"1","34 m²"," 425,500,000","+6287885747766"
"Private Lift! 2BR 64m2 Menteng Park Residence Cikini Furnish Homey","Menteng, Jakarta Pusat",2,"1","64 m²"," 2,500,000,000","+6281984933802"
"Apartement Central Park Residence","Tanjung Duren, Jakarta Barat",2,"1","77 m²"," 3,000,000,000","+6281983229103"
"Jual Cepat Apt Studio Sumber  Passive Income","Sunter, Jakarta Utara",1,"1","21 m²"," 270,000,000","+6281229540096"
"Apartemen Ancol Mansion","Ancol, Jakarta Utara",3,"3","193 m²"," 2,900,000,000","+6281288592046"
"DIjual Apartment Greenlake Sunter Southern Tower","Tanjung Priok, Jakarta Utara",2,"1","42 m²"," 520,000,000","+6281281255077"
"Dijual Apartemen The Grove Tipe 1+1 Kamar Tidur Kondisi Un Furnished","Kuningan, Jakarta Selatan",1,"1","70 m²"," 1,600,000,000","+6281180621464"
"Royal Tower lantai 12 TERMURAH (88 sqm, 2 kamar) St Moritz Puri indah, Jakarta","Puri Indah, Jakarta Barat",2,"2","88 m²"," 1,900,000,000","+6282117106040"
"Casa Grande Phase II - Tower Bella","Tebet, Jakarta Selatan",2,"1","88 m²"," 2,700,000,000","+6281518565002"
"Jual Apartemen Bassura City, 2Br,KPA","Jatinegara, Jakarta Timur",2,"1","34 m²"," 495,000,000","+6287885554793"
"New Apartment mewah Jakarta Selatan","TB Simatupang, Jakarta Selatan",3,"3","121 m²"," 1,500,000,000","+6281318426827"
"Apartemen Taman Rasuna 75sqm 2br","SetiaBudi, Jakarta Selatan",2,"1","75 m²"," 1,400,000,000","+6281287810021"
"Dijual Cepat Apartemen Green Pramuka","Cempaka Putih, Jakarta Pusat",1,"1","35 m²"," 450,000,000","+6287886780963"
"Apartement murah belakang pondok indah (Tanpa DP & Siap Huni)","Jakarta Selatan",1,"1","21 m²"," 300,000,000","+6281314268927"
"Dijual Apartemen Marbella Tipe 2 Kamar Tidur Kondisi Fully Furnished","Bangka, Jakarta Selatan",2,"1","66 m²"," 1,100,000,000","+6281183558355"
"DIJUAL CEPAT!  Apartemen Gading Nias, Kelapa Gading","Kelapa Gading, Jakarta Utara",1,"1","35 m²"," 275,000,000","+6281214520960"
"Apartemen premiun dekat SCBD harga termurah","Kebayoran Lama, Jakarta Selatan",3,"2","91 m²"," 1,300,000,000","+6281386844881"
"Apartemen Centra Timur,tower Kuning, Penggilingan Cakung","Jakarta Timur",2,"1","33 m²"," 375,000,000","+6281806044530"
"Apartment mewah 3 BR dengan view laut","Pantai Indah Kapuk, Jakarta Utara",3,"3","243 m²"," 8,500,000,000","+6281805652264"
"Apartemen di Kelapa Gading The Oak Tower - The Premiere Series","Jakarta Timur",2,"1","42 m²"," 926,466,000","+6281383324654"
"Apartement Siap Huni di Jakarta Timur promo Tanpa DP Tanpa biaya KPA","Pulo Gadung, Jakarta Timur",2,"1","43 m²"," 763,300,000","+6289533685092"
"FOR SALE AREA KEMANG","Kemang, Jakarta Selatan",3,"2","132 m²"," 3,500,000,000","+6287829437876"
"Apartemen mewah daan mogot lokasi strategis di Jakarta barat","Jakarta Barat",1,"1","136 m²"," 725,000,000","+6288213359640"
"APARTEMEN SIAP HUNI FREE BIAYA AKAD DI JAKARTA BARAT","Cengkareng Timur, Jakarta Barat",1,"1","31 m²"," 500,000,000","+6282278008435"
"Dijual Murah Apartemen Permata Hijau Residence Tipe 3 Kamar Tidur","Permata Hijau, Jakarta Selatan",3,"2","108 m²"," 2,300,000,000","+6281184320317"
"Dijual 3BR Furnished Apartemen Thamrin Residence Jakarta Pusat","Kebon Kacang, Jakarta Pusat",3,"2","105 m²"," 2,350,000,000","+6282247339865"
"Dijual cepat Apartemen kemang village","Kemang, Jakarta Selatan",3,"3","118 m²"," 2,350,000,000","+6281618459795"
"APARTEMEN MEDITERANIA ANCOL DIJUAL 2 KAMAR FURNISH","Ancol, Jakarta Utara",2,"1","48 m²"," 385,000,000","+6287775479712"
"Dijual Apartemen Studio Bassura City Tower Jasmine Bersih Dan Terawat","Jakarta Timur",1,"1","21 m²"," 295,000,000","+6281928988763"
"Dijual Murah Apartemen Kemang Village Tipe 2 Bedroom Siap Huni","Kemang, Jakarta Selatan",2,"2","94 m²"," 2,200,000,000","+6281180782567"
"Apartemen Bassura city siap huni full furnished 2 kamar, Jatinegara","Jatinegara, Jakarta Timur",2,"1","34 m²"," 580,000,000","+6281119210242"
"Ambassador Tower lantai 20 Semi Furnished TERMURAH (2kamar) St Moritz Puri indah","Puri Indah, Jakarta Barat",2,"2","113 m²"," 2,700,000,000","+6282118622315"
"DIJUAL GREEN PRAMUKA CITY 2 BEDROOM MURAH BANGET","Cempaka Putih, Jakarta Pusat",2,"1","33 m²"," 420,000,000","+6281211537961"
"APARTEMEN NORTHLAN ANCOL STRATEGIS 2 KAMAR MURAH KOSONGAN","Pademangan, Jakarta Utara",2,"1","41 m²"," 450,000,000","+6287777001215"
"APARTEMEN JAKARTA BARAT TANPA DP 0%","Cengkareng Timur, Jakarta Barat",1,"1","32 m²"," 500,000,000","+6282272694209"
"Apartemen Amethyst Tower","Sawah Besar, Jakarta Pusat",1,"1","32 m²"," 470,000,000","+6281115865743"
"dijuak Apartemen Bassura City furnished  (Harga Nego)","Cipinang, Jakarta Timur",2,"1","34 m²"," 545,000,000","+6281280247806"
"Di jual Apartemen Tokyo Riverside 2br uk 38m Termurah","Pantai Indah Kapuk, Jakarta Utara",2,"1","38 m²"," 490,000,000","+6282221568453"
"Dijual 1 Bedroom Apartemen Ancol Mansion","Ancol, Jakarta Utara",1,"1","57 m²"," 975,000,000","+6281319929310"
"APARTEMEN SUPERBLOK MOI KELAPA GADING 2 KAMAR SHM SIAP HUNI","Kelapa Gading, Jakarta Utara",2,"1","45 m²"," 725,000,000","+6287774985128"
"Disewakan Apartemen Bellagio Residence Tipe 2 Kamar Tidur Full Furnish","Kuningan Barat, Jakarta Selatan",2,"1","84 m²"," 2,000,000,000","+6281187392579"
"Dijual Apartment Residence 8 Senopati","Kebayoran Baru, Jakarta Selatan",1,"1","76 m²"," 3,000,000,000","+6285261552780"
"DIJUAL APARTEMEN PERMATA HIJAU FULL FURNISHED HARGA MURAH NEGO","Permata Hijau, Jakarta Selatan",3,"2","140 m²"," 2,500,000,000","+6281906350878"
"Apartemen Sudirman Tower Condominium 2BR Murah","SetiaBudi, Jakarta Selatan",2,"2","78 m²"," 1,900,000,000","+6281611242765"
"Apartement 1BR Ciputra World 2 Kuningan Jakarta Full Furnish","Kuningan, Jakarta Selatan",1,"1","51 m²"," 1,900,000,000","+6287871463717"
"Apartemen Royal Mediterania Tower Lavender Unfurnished Lantai Sedang","Grogol Petamburan, Jakarta Barat",2,"1","53 m²"," 1,200,000,000","+6281296809872"
"apartemen jakarta","Kelapa Gading, Jakarta Utara",3,"1","74 m²"," 1,300,000,000","+6281318872524"
"Apt northland ancol residence bu","Pademangan Barat, Jakarta Utara",1,"1","31 m²"," 375,000,000","+6285775952965"
"Apartment 2 BR at Denpasar Residence (Kuningan City)","Kuningan, Jakarta Selatan",2,"2","91 m²"," 2,800,000,000","+6285774557166"
"Dijual Apartement Full Furnished Tokyo PIK 2","Pantai Indah Kapuk, Jakarta Utara",2,"1","36 m²"," 850,000,000","+6282113324764"
"DI JUAL APARTEMEN DI KALIBATA CITY","Kalibata, Jakarta Selatan",2,"1","36 m²"," 360,000,000","+6281181557895"
